,Summary,Packet Size,Network Protocol,Transport Protocol,Operation,Source
1453,IP TCP 10.0.2.15:57416 146.75.2.132:https PA Raw,230,IP,TCP,Connection-Transport,10.0.2.15:57416
1454,IP TCP 10.0.2.15:57416 146.75.2.132:https PA Raw,375,IP,TCP,Connection-Transport,10.0.2.15:57416
1455,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Padding,66,IP,TCP,Connection-Transport,146.75.2.132:https
1456,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Padding,66,IP,TCP,Connection-Transport,146.75.2.132:https
1457,IP TCP 146.75.2.132:https 10.0.2.15:57416 PA Raw,119,IP,TCP,Connection-Transport,146.75.2.132:https
1458,IP TCP 146.75.2.132:https 10.0.2.15:57416 PA Raw,1942,IP,TCP,Connection-Transport,146.75.2.132:https
1459,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1460,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Raw,2980,IP,TCP,Connection-Transport,146.75.2.132:https
1461,IP TCP 10.0.2.15:57416 146.75.2.132:https PA Raw,91,IP,TCP,Connection-Transport,10.0.2.15:57416
1462,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1463,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Raw,4440,IP,TCP,Connection-Transport,146.75.2.132:https
1464,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1465,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Padding,66,IP,TCP,Connection-Transport,146.75.2.132:https
1466,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Raw,4440,IP,TCP,Connection-Transport,146.75.2.132:https
1467,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1468,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Raw,11740,IP,TCP,Connection-Transport,146.75.2.132:https
1469,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1470,IP TCP 146.75.2.132:https 10.0.2.15:57416 PA Raw,3467,IP,TCP,Connection-Transport,146.75.2.132:https
1471,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1472,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,4713,IP,TCP,Connection-Transport,52.217.233.112:https
1473,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1474,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1475,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1476,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,2860,IP,TCP,Connection-Transport,52.217.233.112:https
1477,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1478,IP TCP 52.217.233.112:https 10.0.2.15:43242 A Raw,16120,IP,TCP,Connection-Transport,52.217.233.112:https
1479,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1480,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,2200,IP,TCP,Connection-Transport,52.217.233.112:https
1481,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1482,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,1913,IP,TCP,Connection-Transport,52.217.233.112:https
1483,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1484,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,2860,IP,TCP,Connection-Transport,52.217.233.112:https
1485,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1486,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,5900,IP,TCP,Connection-Transport,52.217.233.112:https
1487,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1488,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,16120,IP,TCP,Connection-Transport,52.217.233.112:https
1489,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1490,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,513,IP,TCP,Connection-Transport,52.217.233.112:https
1491,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1492,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,485,IP,TCP,Connection-Transport,52.217.233.112:https
1493,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1494,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,4391,IP,TCP,Connection-Transport,52.217.233.112:https
1495,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1496,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,8820,IP,TCP,Connection-Transport,52.217.233.112:https
1497,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1498,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,10280,IP,TCP,Connection-Transport,52.217.233.112:https
1499,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1500,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,2080,IP,TCP,Connection-Transport,52.217.233.112:https
1501,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1502,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Raw,8820,IP,TCP,Connection-Transport,52.217.233.112:https
1503,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1504,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,7658,IP,TCP,Connection-Transport,52.217.233.112:https
1505,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1506,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Raw,1520,IP,TCP,Connection-Transport,52.217.233.112:https
1507,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1508,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,8400,IP,TCP,Connection-Transport,52.217.233.112:https
1509,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1510,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1511,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1512,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1513,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1514,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1515,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1516,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1517,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1518,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,439,IP,TCP,Connection-Transport,52.217.233.112:https
1519,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,2860,IP,TCP,Connection-Transport,52.217.233.112:https
1520,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1521,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,717,IP,TCP,Connection-Transport,52.217.233.112:https
1522,IP TCP 10.0.2.15:52976 52.217.233.112:https PA Raw,544,IP,TCP,Connection-Transport,10.0.2.15:52976
1523,IP TCP 52.217.233.112:https 10.0.2.15:52976 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1524,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,3313,IP,TCP,Connection-Transport,52.217.233.112:https
1525,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1526,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1527,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,30333,IP,TCP,Connection-Transport,52.217.233.112:https
1528,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1529,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,17156,IP,TCP,Connection-Transport,52.217.233.112:https
1530,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1531,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,2119,IP,TCP,Connection-Transport,52.217.233.112:https
1532,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1533,IP TCP 10.0.2.15:52962 52.217.233.112:https PA Raw,548,IP,TCP,Connection-Transport,10.0.2.15:52962
1534,IP TCP 52.217.233.112:https 10.0.2.15:52962 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1535,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,4260,IP,TCP,Connection-Transport,52.217.233.112:https
1536,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1537,IP TCP 52.217.233.112:https 10.0.2.15:43242 A Raw,16120,IP,TCP,Connection-Transport,52.217.233.112:https
1538,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1539,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,12162,IP,TCP,Connection-Transport,52.217.233.112:https
1540,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1541,IP TCP 10.0.2.15:43242 52.217.233.112:https PA Raw,548,IP,TCP,Connection-Transport,10.0.2.15:43242
1542,IP TCP 52.217.233.112:https 10.0.2.15:43242 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1543,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,4260,IP,TCP,Connection-Transport,52.217.233.112:https
1544,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1545,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,4951,IP,TCP,Connection-Transport,52.217.233.112:https
1546,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1547,IP TCP 10.0.2.15:43256 52.217.233.112:https PA Raw,545,IP,TCP,Connection-Transport,10.0.2.15:43256
1548,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1549,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,4260,IP,TCP,Connection-Transport,52.217.233.112:https
1550,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1551,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,10280,IP,TCP,Connection-Transport,52.217.233.112:https
1552,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1553,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,5240,IP,TCP,Connection-Transport,52.217.233.112:https
1554,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1555,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,1186,IP,TCP,Connection-Transport,52.217.233.112:https
1556,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1557,IP TCP 10.0.2.15:43262 52.217.233.112:https PA Raw,548,IP,TCP,Connection-Transport,10.0.2.15:43262
1558,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1559,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,11260,IP,TCP,Connection-Transport,52.217.233.112:https
1560,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1561,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,7169,IP,TCP,Connection-Transport,52.217.233.112:https
1562,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1563,IP TCP 10.0.2.15:43254 52.217.233.112:https PA Raw,548,IP,TCP,Connection-Transport,10.0.2.15:43254
1564,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1565,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,1914,IP,TCP,Connection-Transport,52.217.233.112:https
1566,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1567,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,4388,IP,TCP,Connection-Transport,52.217.233.112:https
1568,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1569,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,14060,IP,TCP,Connection-Transport,52.217.233.112:https
1570,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1571,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,6878,IP,TCP,Connection-Transport,52.217.233.112:https
1572,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1573,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,11215,IP,TCP,Connection-Transport,52.217.233.112:https
1574,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1575,IP TCP 10.0.2.15:52976 52.217.233.112:https PA Raw,545,IP,TCP,Connection-Transport,10.0.2.15:52976
1576,IP TCP 52.217.233.112:https 10.0.2.15:52976 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1577,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,439,IP,TCP,Connection-Transport,52.217.233.112:https
1578,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,2352,IP,TCP,Connection-Transport,52.217.233.112:https
1579,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1580,IP TCP 10.0.2.15:52962 52.217.233.112:https PA Raw,543,IP,TCP,Connection-Transport,10.0.2.15:52962
1581,IP TCP 52.217.233.112:https 10.0.2.15:52962 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1582,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,3240,IP,TCP,Connection-Transport,52.217.233.112:https
1583,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1584,IP TCP 52.217.233.112:https 10.0.2.15:43242 A Raw,26340,IP,TCP,Connection-Transport,52.217.233.112:https
1585,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1586,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,6622,IP,TCP,Connection-Transport,52.217.233.112:https
1587,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1588,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,1873,IP,TCP,Connection-Transport,52.217.233.112:https
1589,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1590,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,14956,IP,TCP,Connection-Transport,52.217.233.112:https
1591,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,3028,IP,TCP,Connection-Transport,52.217.233.112:https
1592,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,4260,IP,TCP,Connection-Transport,52.217.233.112:https
1593,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,17580,IP,TCP,Connection-Transport,52.217.233.112:https
1594,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1595,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1596,IP TCP 10.0.2.15:43262 52.217.233.112:https PA Raw,547,IP,TCP,Connection-Transport,10.0.2.15:43262
1597,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,6620,IP,TCP,Connection-Transport,52.217.233.112:https
1598,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1599,IP TCP 10.0.2.15:43256 52.217.233.112:https PA Raw,546,IP,TCP,Connection-Transport,10.0.2.15:43256
1600,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1601,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1602,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,473,IP,TCP,Connection-Transport,52.217.233.112:https
1603,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Raw,17580,IP,TCP,Connection-Transport,52.217.233.112:https
1604,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1605,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Raw,20500,IP,TCP,Connection-Transport,52.217.233.112:https
1606,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1607,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Raw,21960,IP,TCP,Connection-Transport,52.217.233.112:https
1608,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1609,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,2852,IP,TCP,Connection-Transport,52.217.233.112:https
1610,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1611,IP TCP 10.0.2.15:57416 146.75.2.132:https PA Raw,173,IP,TCP,Connection-Transport,10.0.2.15:57416
1612,IP TCP 146.75.2.132:https 10.0.2.15:57416 A Padding,66,IP,TCP,Connection-Transport,146.75.2.132:https
1613,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,7440,IP,TCP,Connection-Transport,52.217.233.112:https
1614,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1615,IP TCP 52.217.233.112:https 10.0.2.15:52976 A Raw,13200,IP,TCP,Connection-Transport,52.217.233.112:https
1616,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1617,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,12118,IP,TCP,Connection-Transport,52.217.233.112:https
1618,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1619,IP TCP 52.217.233.112:https 10.0.2.15:52976 PA Raw,2841,IP,TCP,Connection-Transport,52.217.233.112:https
1620,IP TCP 10.0.2.15:52976 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52976
1621,IP TCP 10.0.2.15:52976 52.217.233.112:https PA Raw,546,IP,TCP,Connection-Transport,10.0.2.15:52976
1622,"IP UDP DNS Qry ""b'sync-1-us-west1-g.sync.services.mozilla.com.'""",120,IP,UDP,DNS-Qry,"""b'sync-1-us-west1-g.sync.services.mozilla.com.'"""
1623,"IP UDP DNS Qry ""b'sync-1-us-west1-g.sync.services.mozilla.com.'""",120,IP,UDP,DNS-Qry,"""b'sync-1-us-west1-g.sync.services.mozilla.com.'"""
1624,"IP UDP DNS Ans ""35.186.227.140""",136,IP,UDP,DNS-Ans,"""35.186.227.140"""
1625,"IP UDP DNS Qry ""b'sync-1-us-west1-g.sync.services.mozilla.com.'""",109,IP,UDP,DNS-Qry,"""b'sync-1-us-west1-g.sync.services.mozilla.com.'"""
1626,IP TCP 10.0.2.15:39796 35.186.227.140:https PA Raw,676,IP,TCP,Connection-Transport,10.0.2.15:39796
1627,IP TCP 10.0.2.15:39796 35.186.227.140:https PA Raw,1011,IP,TCP,Connection-Transport,10.0.2.15:39796
1628,IP TCP 10.0.2.15:39796 35.186.227.140:https PA Raw,494,IP,TCP,Connection-Transport,10.0.2.15:39796
1629,IP TCP 52.217.233.112:https 10.0.2.15:52976 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1630,IP TCP 35.186.227.140:https 10.0.2.15:39796 A Padding,66,IP,TCP,Connection-Transport,35.186.227.140:https
1631,IP TCP 35.186.227.140:https 10.0.2.15:39796 A Padding,66,IP,TCP,Connection-Transport,35.186.227.140:https
1632,IP TCP 35.186.227.140:https 10.0.2.15:39796 A Padding,66,IP,TCP,Connection-Transport,35.186.227.140:https
1633,IP UDP DNS Ans,109,IP,UDP,DNS-Ans,Unknown
1634,IP UDP DNS Ans,120,IP,UDP,DNS-Ans,Unknown
1635,IP TCP 146.75.2.132:https 10.0.2.15:57416 PA Raw,2860,IP,TCP,Connection-Transport,146.75.2.132:https
1636,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1637,IP TCP 146.75.2.132:https 10.0.2.15:57416 PA Raw,118,IP,TCP,Connection-Transport,146.75.2.132:https
1638,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,1460,IP,TCP,Connection-Transport,52.217.233.112:https
1639,IP TCP 52.217.233.112:https 10.0.2.15:43242 PA Raw,5368,IP,TCP,Connection-Transport,52.217.233.112:https
1640,IP TCP 10.0.2.15:43242 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43242
1641,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,8994,IP,TCP,Connection-Transport,52.217.233.112:https
1642,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1643,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,4260,IP,TCP,Connection-Transport,52.217.233.112:https
1644,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1645,IP TCP 52.217.233.112:https 10.0.2.15:52962 PA Raw,5394,IP,TCP,Connection-Transport,52.217.233.112:https
1646,IP TCP 10.0.2.15:52962 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:52962
1647,IP TCP 10.0.2.15:52962 52.217.233.112:https PA Raw,547,IP,TCP,Connection-Transport,10.0.2.15:52962
1648,IP TCP 10.0.2.15:43242 52.217.233.112:https PA Raw,547,IP,TCP,Connection-Transport,10.0.2.15:43242
1649,IP TCP 52.217.233.112:https 10.0.2.15:52962 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1650,IP TCP 52.217.233.112:https 10.0.2.15:43242 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1651,IP TCP 10.0.2.15:57416 146.75.2.132:https A,60,IP,TCP,Connection-Transport,10.0.2.15:57416
1652,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,3313,IP,TCP,Connection-Transport,52.217.233.112:https
1653,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1654,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,8460,IP,TCP,Connection-Transport,52.217.233.112:https
1655,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1656,IP TCP 52.217.233.112:https 10.0.2.15:43254 PA Raw,8752,IP,TCP,Connection-Transport,52.217.233.112:https
1657,IP TCP 10.0.2.15:43254 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43254
1658,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,473,IP,TCP,Connection-Transport,52.217.233.112:https
1659,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,18766,IP,TCP,Connection-Transport,52.217.233.112:https
1660,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1661,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,16120,IP,TCP,Connection-Transport,52.217.233.112:https
1662,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1663,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,1520,IP,TCP,Connection-Transport,52.217.233.112:https
1664,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,4440,IP,TCP,Connection-Transport,52.217.233.112:https
1665,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1666,IP TCP 10.0.2.15:43254 52.217.233.112:https PA Raw,552,IP,TCP,Connection-Transport,10.0.2.15:43254
1667,IP TCP 52.217.233.112:https 10.0.2.15:43256 A Raw,10280,IP,TCP,Connection-Transport,52.217.233.112:https
1668,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1669,IP TCP 52.217.233.112:https 10.0.2.15:43256 PA Raw,7200,IP,TCP,Connection-Transport,52.217.233.112:https
1670,IP TCP 10.0.2.15:43256 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43256
1671,IP TCP 52.217.233.112:https 10.0.2.15:43254 A Padding,66,IP,TCP,Connection-Transport,52.217.233.112:https
1672,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,21960,IP,TCP,Connection-Transport,52.217.233.112:https
1673,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1674,IP TCP 52.217.233.112:https 10.0.2.15:43262 A Raw,24880,IP,TCP,Connection-Transport,52.217.233.112:https
1675,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
1676,IP TCP 52.217.233.112:https 10.0.2.15:43262 PA Raw,9280,IP,TCP,Connection-Transport,52.217.233.112:https
1677,IP TCP 10.0.2.15:43262 52.217.233.112:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43262
